t,P
0,0
120,0
240,0
360,0
480,0
600,0
720,0
840,3077.298851
960,12247.1408
1080,18407.64368
1200,18487.04023
1320,18529.68391
1440,18612.93103
1560,18709.81322
1680,18777.51437
1800,18808.60632
1920,18562.57184
2040,18620.68966
2160,18663.3477
2280,18676.86782
2400,18667.19828
2520,18612.93103
2640,18109.31034
2760,18120.94828
2880,18128.67816
3000,18150.01437
3120,18155.83333
3240,18182.93103
3360,18179.09483
3480,18167.4569
3600,18068.64942
3720,18155.83333
3840,18229.42529
3960,18150.01437
4080,18159.69828
4200,18159.69828
4320,18188.7069
4440,18173.26149
4560,18206.19253
4680,18161.68103
4800,18163.62069
4920,18167.47127
5040,18171.2931
5160,18140.34483
5280,18074.39655
5400,18151.91092
5520,18159.69828
5640,18128.7069
5760,18215.8046
5880,18248.72127
6000,17807.02586
6120,17946.52299
6240,16338.54885
6360,16363.77873
6480,16379.31034
6600,16375.4023
6720,16350.20115
6840,16350.20115
6960,16433.50575
7080,18241.06322
7200,18268.11782
7320,18171.2931
7440,18252.61494
7560,18225.53161
7680,18273.93678
7800,18258.41954
7920,18302.9454
8040,18235.18678
8160,18258.43391
8280,18239.05172
8400,18233.27586
8520,18235.17241
8640,18229.41092
8760,18239.09483
8880,18254.5977
9000,18285.54598
9120,18295.22989
9240,18283.59196
9360,18275.8477
9480,18312.64368
9600,18333.99425
9720,18302.95977
9840,18277.80172
9960,18270.05747
10080,18287.47127
10200,18948.08908
10320,21948.85058
10440,21999.29598
10560,18489.00862
10680,14343.36207
10800,14349.1092
10920,14385.8908
11040,14385.8908
11160,14422.70115
11280,14457.5431
11400,14413.00287
11520,14465.30172
11640,14385.91954
11760,14436.23563
11880,14395.58908
12000,14395.56034
12120,14443.99425
12240,14401.36494
12360,14380.08621
12480,14387.83046
12600,12375.02873
12720,7210.359197
12840,5302.183907
12960,172.4568966
13080,207.3275862
13200,0
