t,P
0,0
120,0
240,0
360,0
480,0
600,0
720,0
840,0
960,0
1080,0
1200,0
1320,0
1440,0
1560,0
1680,0
1800,0
1920,127920.8333
2040,307415.4167
2160,307583.75
2280,307360
2400,343818.75
2520,414777.0833
2640,420167.0833
2760,416798.3333
2880,416685.4167
3000,418709.1667
3120,417135
3240,417584.1667
3360,418539.1667
3480,443371.25
3600,471291.6667
3720,472189.5833
3840,471797.0833
3960,472190
4080,471910
4200,470448.75
4320,468652.5
4440,471010.8333
4560,470057.0833
4680,472189.5833
4800,470956.25
4920,470900.8333
5040,470339.1667
5160,470901.25
5280,470339.1667
5400,469383.3333
5520,469831.6667
5640,470842.9167
5760,470842.9167
5880,472078.75
6000,471123.75
6120,472022.0833
6240,471910
6360,471685.4167
6480,472471.25
6600,472022.9167
6720,469495.8333
6840,463370
6960,463540
7080,464211.25
7200,393652.5
7320,358876.25
7440,359887.5
7560,358990
7680,358371.25
7800,358766.25
7920,421799.1667
8040,533035.4167
8160,531572.5
8280,532922.5
8400,532866.25
8520,531966.25
8640,532135
8760,532416.25
8880,532472.0833
9000,568146.6667
9120,590787.0833
9240,591348.75
9360,438034.1667
9480,208370
9600,205000
9720,157415
9840,104044.1667
9960,104660.4167
10080,103539.5833
10200,105672.9167
10320,111235.4167
10440,107752.5
10560,104830.8333
10680,108370
10800,109045
10920,108651.6667
11040,112246.25
11160,112303.3333
11280,106235
11400,104718.75
11520,0
11640,0
11760,0
11880,0
12000,0
12120,0
12240,0
12360,0
12480,0
12600,0
12720,0
12840,0
12960,0
13080,0
13200,0
13320,0
13440,0
13560,0
13680,0
13800,0
13920,0
14040,0
14160,0
14280,0
14400,0
14520,0
14640,0
14760,0
14880,0
15000,0
15120,0
15240,0
15360,0
15480,0
15600,0
15720,0
15840,0
15960,0
16080,0
16200,0
16320,0
16440,0
16560,0
16680,0
16800,0
16920,0
17040,0
17160,0
17280,0
17400,0
17520,0
17640,0
17760,0
17880,0
18000,0
