t,P
0,0
120,0
240,0
360,0
480,0
600,0
720,0
840,0
960,0
1080,430.57472
1200,748.16092
1320,918.73564
1440,1251.72412
1560,1639.25288
1680,1910.05748
1800,2034.42528
1920,1050.28736
2040,1282.75864
2160,1453.3908
2280,1507.47128
2400,1468.79312
2520,1251.72412
2640,0
2760,0
2880,0
3000,0
3120,0
3240,0
3360,0
3480,0
3600,0
3720,0
3840,0
3960,0
4080,0
4200,0
4320,0
4440,0
4560,0
4680,0
4800,0
4920,0
5040,0
5160,0
5280,0
5400,0
5520,0
5640,0
5760,0
5880,0
6000,0
6120,0
6240,0
6360,0
6480,0
6600,0
6720,0
6840,0
6960,0
7080,0
7200,0
7320,0
7440,0
7560,0
7680,0
7800,0
7920,11.7816
8040,0
8160,0
8280,0
8400,0
8520,0
8640,0
8760,0
8880,0
9000,0
9120,0
9240,0
9360,0
9480,50.57472
9600,135.977
9720,11.83908
9840,0
9960,0
10080,0
10200,2592.35632
10320,14595.40232
10440,14797.18392
10560,756.03448
10680,0
10800,0
10920,0
11040,0
11160,0
11280,0
11400,0
11520,0
11640,0
11760,0
11880,0
12000,0
12120,0
12240,0
12360,0
12480,0
12600,0
12720,0
12840,0
12960,0
13080,0
13200,0
